id,x,y,T,phi
0,0.000836249,0.000881556,6996.07,0.000269798
1,0.000727551,0.000749522,8475.22,0.000465877
2,0.000854025,0.000839238,925.861,0
3,0.000765978,0.000858609,941.012,0
4,0.000777954,0.000769297,336.342,0
5,0.000795843,0.000776616,303.258,0
6,0.000896878,0.000800474,10307.4,0.000732786
7,0.000726318,0.00073297,11863.2,0.00101469
8,0.000878131,0.000803471,2438.13,2.08042e-10
9,0.000784997,0.000797646,300.716,0
10,0.000860536,0.000818276,1135.9,0
11,0.000810661,0.000898101,10389,0.000739774
12,0.00077785,0.000779618,311.937,0
13,0.000861501,0.000793496,1066.14,0
14,0.000843529,0.000747342,1607.9,0
15,0.000721477,0.000825242,2937.77,5.18153e-06
16,0.000810766,0.000795909,300.743,0
17,0.000743573,0.000849486,1507.15,0
18,0.000801513,0.000812545,300.702,0
19,0.000780012,0.000755159,373.908,0
20,0.000838992,0.000732328,2029.78,0
21,0.000767742,0.000826326,335.948,0
22,0.000801438,0.000757335,363.668,0
23,0.000817031,0.00086294,1112.8,0
24,0.000873892,0.000814729,2575.84,4.53786e-07
25,0.00071276,0.000828495,6008.42,0.000178343
26,0.000856304,0.000772047,696.666,0
27,0.00076055,0.000875607,3994.6,4.32996e-05
28,0.000725118,0.000790141,2425.59,0
29,0.000854869,0.000718752,12438.7,0.0011603
30,0.000716227,0.000778663,6058.37,0.00018268
31,0.000874782,0.00078341,2625.29,8.11601e-07
32,0.000787329,0.000876875,2636.85,9.25903e-07
33,0.000827629,0.000846897,410.983,0
34,0.000788916,0.000805789,300.714,0
35,0.000783042,0.000860508,1162.78,0
36,0.000803749,0.000811258,300.702,0
37,0.000821065,0.000718332,6363.89,0.0002137
38,0.000869646,0.000765228,2003.87,0
39,0.000869442,0.000758908,3103.33,9.03982e-06
40,0.000712414,0.000828793,6008.42,0.000178343
41,0.00077874,0.000822408,311.849,0
42,0.000758778,0.000729366,5405.28,0.000132154
43,0.000788104,0.00087597,2636.85,9.25903e-07
44,0.000744455,0.000850271,2630.02,8.54598e-07
45,0.000857396,0.000719857,12438.7,0.0011603
46,0.000807471,0.000884625,5360,0.000134526
47,0.000848979,0.000812718,374.896,0
48,0.000864653,0.000854098,4654.52,8.16686e-05
49,0.0008198,0.000863256,1112.8,0
50,0.000706486,0.000814588,10398.4,0.000740296
51,0.000774806,0.000729303,2901.17,4.48686e-06
52,0.000770422,0.00077723,311.937,0
53,0.000821357,0.000870302,2871.36,3.9677e-06
54,0.000721039,0.000743487,8475.22,0.000465877
55,0.00086093,0.000743119,4950.42,9.91035e-05
56,0.000777653,0.00087579,3088.75,8.74263e-06
57,0.000768724,0.00080876,314.622,0
58,0.000759547,0.000823409,417.067,0
59,0.000757678,0.000883914,9466.84,0.000595143
60,0.00077836,0.000827433,311.849,0
61,0.0007868,0.000894308,10517.4,0.000756517
62,0.000880479,0.000800263,5376.33,0.000135361
63,0.000779963,0.000855895,685.301,0
64,0.000760349,0.000791375,314.755,0
65,0.000775361,0.000734875,1330.25,0
66,0.000801915,0.00085187,529.3,0
67,0.000808,0.000840236,361.096,0
68,0.000738521,0.000842442,2941.41,5.46432e-06
69,0.000799373,0.000825466,303.287,0
70,0.000783553,0.000753114,373.908,0
71,0.000850424,0.000867677,4544.91,7.40793e-05
72,0.000789488,0.000899332,10517.4,0.000756517
73,0.000716217,0.000852408,12356.5,0.00117287
74,0.000789775,0.000815032,301.479,0
75,0.000766408,0.000727784,3750.14,3.06515e-05
76,0.000731021,0.00082348,1348.27,0
77,0.000737903,0.0007591,3080.67,8.66034e-06
78,0.00078058,0.00082077,305.066,0
79,0.000816127,0.000753508,380.645,0
80,0.000868207,0.00079287,1066.14,0
81,0.000825601,0.000742269,706.398,0
82,0.000852192,0.000872522,7693.16,0.000358894
83,0.000776195,0.000732804,1330.25,0
84,0.000757442,0.000882295,9466.84,0.000595143
85,0.000788658,0.000754461,373.908,0
86,0.000747728,0.00087323,7797.27,0.000367023
87,0.000828872,0.000788678,305.311,0
88,0.000737338,0.000792982,1054.79,0
89,0.000758802,0.00071827,9234.24,0.000557495
90,0.000821808,0.000882925,5936.41,0.000173333
91,0.000775416,0.000730645,1330.25,0
92,0.000821716,0.00084259,410.983,0
93,0.000701436,0.00078966,10412.4,0.000741862
94,0.000851057,0.000798798,534.667,0
95,0.000708262,0.000764811,11677.4,0.00094357
96,0.000835293,0.000887067,6996.07,0.000269798
97,0.000783794,0.00074974,560.89,0
98,0.000856999,0.000727766,8443.29,0.000454307
