id,x,y,T,phi
0,0.000836249,0.000881556,4464.99,3.70594e-05
1,0.000727551,0.000749522,6322.41,0.000119406
2,0.000854025,0.000839238,402.02,0
3,0.000765978,0.000858609,407.155,0
4,0.000777954,0.000769297,301.401,0
5,0.000795843,0.000776616,300.063,0
6,0.000896878,0.000800474,8458.03,0.000251474
7,0.000726318,0.00073297,10565,0.000411074
8,0.000878131,0.000803471,1053.43,0
9,0.000784997,0.000797646,300.007,0
10,0.000860536,0.000818276,473.443,0
11,0.000810661,0.000898101,8517.67,0.000253469
12,0.00077785,0.000779618,300.274,0
13,0.000861501,0.000793496,460.491,0
14,0.000843529,0.000747342,616.783,0
15,0.000721477,0.000825242,1247.65,0
16,0.000810766,0.000795909,300.007,0
17,0.000743573,0.000849486,586.198,0
18,0.000801513,0.000812545,300.007,0
19,0.000780012,0.000755159,304.772,0
20,0.000838992,0.000732328,800.255,0
21,0.000767742,0.000826326,301.39,0
22,0.000801438,0.000757335,304.277,0
23,0.000817031,0.00086294,468.244,0
24,0.000873892,0.000814729,1097.26,0
25,0.00071276,0.000828495,3533.3,1.25964e-05
26,0.000856304,0.000772047,351.312,0
27,0.00076055,0.000875607,1980.22,0
28,0.000725118,0.000790141,1050.85,0
29,0.000854869,0.000718752,11413.8,0.000510376
30,0.000716227,0.000778663,3579.68,1.35857e-05
31,0.000874782,0.00078341,1113.1,0
32,0.000787329,0.000876875,1130.6,0
33,0.000827629,0.000846897,307.535,0
34,0.000788916,0.000805789,300.007,0
35,0.000783042,0.000860508,482.22,0
36,0.000803749,0.000811258,300.007,0
37,0.000821065,0.000718332,3922.86,2.19674e-05
38,0.000869646,0.000765228,781.165,0
39,0.000869442,0.000758908,1364,0
40,0.000712414,0.000828793,3533.3,1.25964e-05
41,0.00077874,0.000822408,300.277,0
42,0.000758778,0.000729366,3054.14,4.43747e-06
43,0.000788104,0.00087597,1130.6,0
44,0.000744455,0.000850271,1099.99,0
45,0.000857396,0.000719857,11413.8,0.000510376
46,0.000807471,0.000884625,3134.72,5.96162e-06
47,0.000848979,0.000812718,304.881,0
48,0.000864653,0.000854098,2486.66,3.5015e-08
49,0.0008198,0.000863256,468.244,0
50,0.000706486,0.000814588,8521.06,0.000253539
51,0.000774806,0.000729303,1231.97,0
52,0.000770422,0.00077723,300.274,0
53,0.000821357,0.000870302,1218,0
54,0.000721039,0.000743487,6322.41,0.000119406
55,0.00086093,0.000743119,2664.6,6.48407e-07
56,0.000777653,0.00087579,1369.91,0
57,0.000768724,0.00080876,300.541,0
58,0.000759547,0.000823409,308.109,0
59,0.000757678,0.000883914,7384.63,0.00017851
60,0.00077836,0.000827433,300.277,0
61,0.0007868,0.000894308,8670.42,0.000260475
62,0.000880479,0.000800263,3140.62,6.04046e-06
63,0.000779963,0.000855895,351.005,0
64,0.000760349,0.000791375,300.544,0
65,0.000775361,0.000734875,520.1,0
66,0.000801915,0.00085187,327.806,0
