id,x,y,T,phi
0,0.000836249,0.000881556,7895.73,0.000460943
1,0.000727551,0.000749522,9193.55,0.000709578
2,0.000854025,0.000839238,1351.38,0
3,0.000765978,0.000858609,1372.69,0
4,0.000777954,0.000769297,396.875,0
5,0.000795843,0.000776616,311.835,0
6,0.000896878,0.000800474,10872.2,0.00104299
7,0.000726318,0.00073297,12244,0.00138017
8,0.000878131,0.000803471,3193.6,1.4643e-05
9,0.000784997,0.000797646,303.288,0
10,0.000860536,0.000818276,1627.26,0
11,0.000810661,0.000898101,10956.2,0.00105313
12,0.00077785,0.000779618,337.781,0
13,0.000861501,0.000793496,1523.35,0
14,0.000843529,0.000747342,2241.94,0
15,0.000721477,0.000825242,3799.22,4.09686e-05
16,0.000810766,0.000795909,303.401,0
17,0.000743573,0.000849486,2110.96,0
18,0.000801513,0.000812545,303.223,0
19,0.000780012,0.000755159,472.48,0
20,0.000838992,0.000732328,2750.02,2.65884e-06
21,0.000767742,0.000826326,395.767,0
22,0.000801438,0.000757335,448.646,0
23,0.000817031,0.00086294,1595.21,0
24,0.000873892,0.000814729,3368.41,2.10776e-05
25,0.00071276,0.000828495,6945.9,0.000332665
26,0.000856304,0.000772047,1020.06,0
27,0.00076055,0.000875607,4902.36,0.000120293
28,0.000725118,0.000790141,3175.67,1.40627e-05
29,0.000854869,0.000718752,12753.7,0.00154623
30,0.000716227,0.000778663,6995.28,0.000338889
31,0.000874782,0.00078341,3432.12,2.35999e-05
32,0.000787329,0.000876875,3429.85,2.38982e-05
33,0.000827629,0.000846897,547.551,0
34,0.000788916,0.000805789,303.275,0
35,0.000783042,0.000860508,1658.67,0
36,0.000803749,0.000811258,303.223,0
37,0.000821065,0.000718332,7264.65,0.00038081
38,0.000869646,0.000765228,2728.82,2.29592e-06
39,0.000869442,0.000758908,3963.21,5.11155e-05
40,0.000712414,0.000828793,6945.9,0.000332665
41,0.00077874,0.000822408,337.401,0
42,0.000758778,0.000729366,6340.75,0.000263446
43,0.000788104,0.00087597,3429.85,2.38982e-05
44,0.000744455,0.000850271,3431.09,2.37263e-05
45,0.000857396,0.000719857,12753.7,0.00154623
46,0.000807471,0.000884625,6248.71,0.000263168
