id,x,y,T,phi
0,0.000836249,0.000881556,8016.45,0.000494055
1,0.000727551,0.000749522,9289.43,0.000750388
2,0.000854025,0.000839238,1422.94,0
3,0.000765978,0.000858609,1445.2,0
4,0.000777954,0.000769297,409.893,0
5,0.000795843,0.000776616,314.028,0
6,0.000896878,0.000800474,10945.9,0.00109378
7,0.000726318,0.00073297,12293.5,0.00143909
8,0.000878131,0.000803471,3307.32,1.95354e-05
9,0.000784997,0.000797646,304.023,0
10,0.000860536,0.000818276,1707.91,0
11,0.000810661,0.000898101,11030,0.00110443
12,0.00077785,0.000779618,343.842,0
13,0.000861501,0.000793496,1599.08,0
14,0.000843529,0.000747342,2341.37,0
15,0.000721477,0.000825242,3925.72,4.9533e-05
16,0.000810766,0.000795909,304.158,0
17,0.000743573,0.000849486,2206.5,0
18,0.000801513,0.000812545,303.943,0
19,0.000780012,0.000755159,492.466,0
20,0.000838992,0.000732328,2860.24,4.87913e-06
21,0.000767742,0.000826326,408.633,0
22,0.000801438,0.000757335,465.992,0
23,0.000817031,0.00086294,1674.68,0
24,0.000873892,0.000814729,3486.77,2.70328e-05
25,0.00071276,0.000828495,7073.43,0.000360105
26,0.000856304,0.000772047,1076.86,0
27,0.00076055,0.000875607,5031.86,0.000135485
28,0.000725118,0.000790141,3288.66,1.88453e-05
29,0.000854869,0.000718752,12794.9,0.00160817
30,0.000716227,0.000778663,7122.7,0.000366624
31,0.000874782,0.00078341,3552.32,2.99428e-05
32,0.000787329,0.000876875,3547.75,3.02207e-05
33,0.000827629,0.000846897,574.359,0
34,0.000788916,0.000805789,304.006,0
35,0.000783042,0.000860508,1739.66,0
36,0.000803749,0.000811258,303.943,0
37,0.000821065,0.000718332,7386.83,0.000410144
38,0.000869646,0.000765228,2839.98,4.39178e-06
39,0.000869442,0.000758908,4088.83,6.06612e-05
40,0.000712414,0.000828793,7073.43,0.000360105
41,0.00077874,0.000822408,343.393,0
42,0.000758778,0.000729366,6470.08,0.000287263
43,0.000788104,0.00087597,3547.75,3.02207e-05
44,0.000744455,0.000850271,3550.15,3.00597e-05
45,0.000857396,0.000719857,12794.9,0.00160817
46,0.000807471,0.000884625,6371.8,0.000286414
47,0.000848979,0.000812718,493.792,0
48,0.000864653,0.000854098,5683.72,0.00020283
49,0.0008198,0.000863256,1674.68,0
50,0.000706486,0.000814588,11041.4,0.00110541
51,0.000774806,0.000729303,3888.05,4.71769e-05
52,0.000770422,0.00077723,343.842,0
53,0.000821357,0.000870302,3850.32,4.51659e-05
54,0.000721039,0.000743487,9289.43,0.000750388
55,0.00086093,0.000743119,6004.94,0.000233932
56,0.000777653,0.00087579,4065.89,5.95269e-05
57,0.000768724,0.00080876,348.63,0
58,0.000759547,0.000823409,586.091,0
59,0.000757678,0.000883914,10219.6,0.000921858
60,0.00077836,0.000827433,343.393,0
61,0.0007868,0.000894308,11139.1,0.00112637
62,0.000880479,0.000800263,6394.31,0.000288106
63,0.000779963,0.000855895,1052.5,0
