id,x,y,T,phi
0,0.000836249,0.000881556,2104.67,0
1,0.000727551,0.000749522,3772.92,9.56756e-06
2,0.000854025,0.000839238,306.456,0
3,0.000765978,0.000858609,307.342,0
4,0.000777954,0.000769297,300.015,0
5,0.000795843,0.000776616,300,0
6,0.000896878,0.000800474,5966.52,5.41098e-05
7,0.000726318,0.00073297,8447.75,0.000121003
8,0.000878131,0.000803471,459.096,0
9,0.000784997,0.000797646,300,0
10,0.000860536,0.000818276,318.085,0
11,0.000810661,0.000898101,5989.59,5.43833e-05
12,0.00077785,0.000779618,300.002,0
13,0.000861501,0.000793496,317.393,0
14,0.000843529,0.000747342,333.041,0
15,0.000721477,0.000825242,488.788,0
16,0.000810766,0.000795909,300,0
17,0.000743573,0.000849486,329.295,0
18,0.000801513,0.000812545,300,0
19,0.000780012,0.000755159,300.12,0
20,0.000838992,0.000732328,371.075,0
21,0.000767742,0.000826326,300.015,0
22,0.000801438,0.000757335,300.115,0
23,0.000817031,0.00086294,317.738,0
24,0.000873892,0.000814729,463.902,0
25,0.00071276,0.000828495,1545.9,0
26,0.000856304,0.000772047,302.59,0
27,0.00076055,0.000875607,775.091,0
28,0.000725118,0.000790141,458.94,0
29,0.000854869,0.000718752,9878.93,0.000176881
30,0.000716227,0.000778663,1573.49,0
31,0.000874782,0.00078341,465.961,0
32,0.000787329,0.000876875,469.819,0
33,0.000827629,0.000846897,300.17,0
34,0.000788916,0.000805789,300,0
35,0.000783042,0.000860508,318.857,0
36,0.000803749,0.000811258,300,0
37,0.000821065,0.000718332,1786.66,0
38,0.000869646,0.000765228,366.686,0
39,0.000869442,0.000758908,523.693,0
40,0.000712414,0.000828793,1545.9,0
41,0.00077874,0.000822408,300.002,0
42,0.000758778,0.000729366,1272.95,0
43,0.000788104,0.00087597,469.819,0
44,0.000744455,0.000850271,438.971,0
45,0.000857396,0.000719857,9878.93,0.000176881
46,0.000807471,0.000884625,1424.09,0
47,0.000848979,0.000812718,300.122,0
48,0.000864653,0.000854098,973.31,0
49,0.0008198,0.000863256,317.738,0
50,0.000706486,0.000814588,5989.97,5.43861e-05
51,0.000774806,0.000729303,487.613,0
52,0.000770422,0.00077723,300.002,0
53,0.000821357,0.000870302,484.056,0
54,0.000721039,0.000743487,3772.92,9.56756e-06
55,0.00086093,0.000743119,1030.33,0
56,0.000777653,0.00087579,530.919,0
57,0.000768724,0.00080876,300.007,0
58,0.000759547,0.000823409,300.181,0
59,0.000757678,0.000883914,4787.19,2.66449e-05
60,0.00077836,0.000827433,300.002,0
61,0.0007868,0.000894308,6092.21,5.59101e-05
62,0.000880479,0.000800263,1425.05,0
63,0.000779963,0.000855895,302.669,0
64,0.000760349,0.000791375,300.007,0
65,0.000775361,0.000734875,321.989,0
66,0.000801915,0.00085187,301.534,0
67,0.000808,0.000840236,300.114,0
68,0.000738521,0.000842442,498.506,0
69,0.000799373,0.000825466,300,0
70,0.000783553,0.000753114,300.12,0
71,0.000850424,0.000867677,918.353,0
72,0.000789488,0.000899332,6092.21,5.59101e-05
73,0.000716217,0.000852408,10057.7,0.000192276
74,0.000789775,0.000815032,300,0
75,0.000766408,0.000727784,639.468,0
76,0.000731021,0.00082348,322.257,0
77,0.000737903,0.0007591,523.516,0
78,0.00078058,0.00082077,300.001,0
79,0.000816127,0.000753508,300.13,0
80,0.000868207,0.00079287,317.393,0
81,0.000825601,0.000742269,302.782,0
82,0.000852192,0.000872522,2859.73,1.14256e-06
83,0.000776195,0.000732804,321.989,0
84,0.000757442,0.000882295,4787.19,2.66449e-05
85,0.000788658,0.000754461,300.12,0
