id,x,y,T,phi
0,0.000836249,0.000881556,6203.99,0.000161163
1,0.000727551,0.000749522,7830.75,0.000316933
2,0.000854025,0.000839238,678.577,0
3,0.000765978,0.000858609,689.609,0
4,0.000777954,0.000769297,314.363,0
5,0.000795843,0.000776616,301.01,0
6,0.000896878,0.000800474,9779.01,0.000534778
7,0.000726318,0.00073297,11503.6,0.000774214
8,0.000878131,0.000803471,1897.7,0
9,0.000784997,0.000797646,300.181,0
10,0.000860536,0.000818276,836.613,0
11,0.000810661,0.000898101,9856.06,0.000539699
12,0.00077785,0.000779618,304.039,0
13,0.000861501,0.000793496,791.267,0
14,0.000843529,0.000747342,1188.14,0
15,0.000721477,0.000825242,2296.32,0
16,0.000810766,0.000795909,300.187,0
17,0.000743573,0.000849486,1113.27,0
18,0.000801513,0.000812545,300.177,0
19,0.000780012,0.000755159,333.438,0
20,0.000838992,0.000732328,1531.08,0
21,0.000767742,0.000826326,314.221,0
22,0.000801438,0.000757335,328.997,0
23,0.000817031,0.00086294,820.663,0
24,0.000873892,0.000814729,2002.13,0
25,0.00071276,0.000828495,5204.75,9.55685e-05
26,0.000856304,0.000772047,523.523,0
27,0.00076055,0.000875607,3279.43,1.18857e-05
28,0.000725118,0.000790141,1889.28,0
29,0.000854869,0.000718752,12145.7,0.000904099
30,0.000716227,0.000778663,5254.67,9.8606e-05
31,0.000874782,0.00078341,2039.33,0
32,0.000787329,0.000876875,2057.61,0
33,0.000827629,0.000846897,351.723,0
34,0.000788916,0.000805789,300.18,0
35,0.000783042,0.000860508,857.744,0
36,0.000803749,0.000811258,300.177,0
37,0.000821065,0.000718332,5585.02,0.000121356
38,0.000869646,0.000765228,1504.55,0
39,0.000869442,0.000758908,2454.84,7.45912e-09
40,0.000712414,0.000828793,5204.75,9.55685e-05
41,0.00077874,0.000822408,304.026,0
42,0.000758778,0.000729366,4624.14,6.48122e-05
43,0.000788104,0.00087597,2057.61,0
44,0.000744455,0.000850271,2043.39,0
45,0.000857396,0.000719857,12145.7,0.000904099
46,0.000807471,0.000884625,4619.61,6.78498e-05
47,0.000848979,0.000812718,334.03,0
48,0.000864653,0.000854098,3918.22,3.33093e-05
49,0.0008198,0.000863256,820.663,0
50,0.000706486,0.000814588,9863.57,0.00054
51,0.000774806,0.000729303,2264.7,0
52,0.000770422,0.00077723,304.039,0
53,0.000821357,0.000870302,2240.41,0
54,0.000721039,0.000743487,7830.75,0.000316933
55,0.00086093,0.000743119,4183.6,4.3417e-05
56,0.000777653,0.00087579,2447.21,2.81239e-09
57,0.000768724,0.00080876,305.528,0
58,0.000759547,0.000823409,355.001,0
59,0.000757678,0.000883914,8856.62,0.000419994
60,0.00077836,0.000827433,304.026,0
61,0.0007868,0.000894308,9996.96,0.000552946
62,0.000880479,0.000800263,4631.98,6.83116e-05
63,0.000779963,0.000855895,518.148,0
64,0.000760349,0.000791375,305.577,0
65,0.000775361,0.000734875,971.052,0
66,0.000801915,0.00085187,424.743,0
67,0.000808,0.000840236,327.86,0
68,0.000738521,0.000842442,2323.82,0
69,0.000799373,0.000825466,301.025,0
70,0.000783553,0.000753114,333.438,0
71,0.000850424,0.000867677,3804.89,2.86247e-05
