id,x,y,T,phi
0,0.000836249,0.000881556,6591.21,0.000208741
1,0.000727551,0.000749522,8147.84,0.000383595
2,0.000854025,0.000839238,786.917,0
3,0.000765978,0.000858609,799.817,0
4,0.000777954,0.000769297,322.8,0
5,0.000795843,0.000776616,301.799,0
6,0.000896878,0.000800474,10041.6,0.000624463
7,0.000726318,0.00073297,11683,0.000884047
8,0.000878131,0.000803471,2148.18,0
9,0.000784997,0.000797646,300.356,0
10,0.000860536,0.000818276,969.489,0
11,0.000810661,0.000898101,10121.2,0.000630324
12,0.00077785,0.000779618,306.922,0
13,0.000861501,0.000793496,912.972,0
14,0.000843529,0.000747342,1378.62,0
15,0.000721477,0.000825242,2596.44,5.22652e-07
16,0.000810766,0.000795909,300.369,0
17,0.000743573,0.000849486,1291.37,0
18,0.000801513,0.000812545,300.349,0
19,0.000780012,0.000755159,349.566,0
20,0.000838992,0.000732328,1760.11,0
21,0.000767742,0.000826326,322.563,0
22,0.000801438,0.000757335,342.811,0
23,0.000817031,0.00086294,950.184,0
24,0.000873892,0.000814729,2268.72,0
25,0.00071276,0.000828495,5594.83,0.000131173
26,0.000856304,0.000772047,597.696,0
27,0.00076055,0.000875607,3619.23,2.40706e-05
28,0.000725118,0.000790141,2137.85,0
29,0.000854869,0.000718752,12291.2,0.00102141
30,0.000716227,0.000778663,5644.84,0.00013481
31,0.000874782,0.00078341,2311.78,0
32,0.000787329,0.000876875,2327.42,0
33,0.000827629,0.000846897,375.668,0
34,0.000788916,0.000805789,300.355,0
35,0.000783042,0.000860508,993.544,0
36,0.000803749,0.000811258,300.349,0
37,0.000821065,0.000718332,5964.12,0.000161458
38,0.000869646,0.000765228,1733.49,0
39,0.000869442,0.000758908,2759.44,2.07821e-06
40,0.000712414,0.000828793,5594.83,0.000131173
41,0.00077874,0.000822408,306.883,0
42,0.000758778,0.000729366,5000.96,9.33661e-05
43,0.000788104,0.00087597,2327.42,0
44,0.000744455,0.000850271,2316.9,0
45,0.000857396,0.000719857,12291.2,0.00102141
46,0.000807471,0.000884625,4976.61,9.62287e-05
47,0.000848979,0.000812718,350.343,0
48,0.000864653,0.000854098,4271.49,5.32471e-05
49,0.0008198,0.000863256,950.184,0
50,0.000706486,0.000814588,10129.7,0.00063072
51,0.000774806,0.000729303,2562.03,3.26313e-07
52,0.000770422,0.00077723,306.922,0
53,0.000821357,0.000870302,2535.11,2.04371e-07
54,0.000721039,0.000743487,8147.84,0.000383595
55,0.00086093,0.000743119,4552.8,6.66378e-05
56,0.000777653,0.00087579,2748.38,1.96103e-06
57,0.000768724,0.00080876,308.937,0
58,0.000759547,0.000823409,380.157,0
59,0.000757678,0.000883914,9158.37,0.000498863
60,0.00077836,0.000827433,306.883,0
61,0.0007868,0.000894308,10256.3,0.000645225
62,0.000880479,0.000800263,4990.82,9.685e-05
63,0.000779963,0.000855895,589.783,0
64,0.000760349,0.000791375,309.018,0
65,0.000775361,0.000734875,1131.71,0
66,0.000801915,0.00085187,468.752,0
67,0.000808,0.000840236,341.096,0
68,0.000738521,0.000842442,2613.28,6.61577e-07
69,0.000799373,0.000825466,301.821,0
70,0.000783553,0.000753114,349.566,0
71,0.000850424,0.000867677,4159.48,4.72097e-05
72,0.000789488,0.000899332,10256.3,0.000645225
73,0.000716217,0.000852408,12211.7,0.00103511
74,0.000789775,0.000815032,300.757,0
75,0.000766408,0.000727784,3367.11,1.49003e-05
76,0.000731021,0.00082348,1147.99,0
77,0.000737903,0.0007591,2745.66,1.95365e-06
78,0.00078058,0.00082077,302.818,0
79,0.000816127,0.000753508,354.41,0
80,0.000868207,0.00079287,912.972,0
81,0.000825601,0.000742269,606.283,0
82,0.000852192,0.000872522,7329.07,0.000287803
83,0.000776195,0.000732804,1131.71,0
84,0.000757442,0.000882295,9158.37,0.000498863
85,0.000788658,0.000754461,349.566,0
86,0.000747728,0.00087323,7429.52,0.0002945
87,0.000828872,0.000788678,302.951,0
88,0.000737338,0.000792982,904.235,0
89,0.000758802,0.00071827,8907.79,0.000464591
90,0.000821808,0.000882925,5525.5,0.000127153
91,0.000775416,0.000730645,1131.71,0
92,0.000821716,0.00084259,375.668,0
93,0.000701436,0.00078966,10143.8,0.000632091
94,0.000851057,0.000798798,472.54,0
95,0.000708262,0.000764811,11460.8,0.000815767
96,0.000835293,0.000887067,6591.21,0.000208741
97,0.000783794,0.00074974,491.632,0
98,0.000856999,0.000727766,8105.76,0.00037254
99,0.000848433,0.000758777,745.852,0
100,0.000884804,0.000763703,7339.72,0.000279377
101,0.000756814,0.000722615,5000.96,9.33661e-05
102,0.000747044,0.000854796,2316.9,0
103,0.000895636,0.000784029,10229.9,0.000638968
104,0.000781836,0.000850093,503.5,0
105,0.000733941,0.000822189,1147.99,0
106,0.000844756,0.000889115,8788.42,0.00044992
107,0.000786565,0.000800516,300.355,0
108,0.000771743,0.000831461,323.35,0
109,0.000784336,0.000715169,5111.3,0.000102838
110,0.000746468,0.000785341,496.851,0
111,0.000753277,0.000746101,1316.49,0
112,0.000757723,0.000773218,384.221,0
113,0.000701404,0.000808232,10022.4,0.000623277
114,0.000712784,0.000838136,6774.85,0.000224385
115,0.000763766,0.000753225,472.904,0
116,0.000853766,0.000738368,4625.66,7.19777e-05
117,0.000752023,0.000800243,341.188,0
118,0.000808797,0.000724882,2170.33,0
119,0.000820869,0.000799285,301.845,0
120,0.000787341,0.000867373,993.544,0
121,0.000798653,0.000706015,10034.4,0.000623997
122,0.000752566,0.000885327,9158.37,0.000498863
123,0.000733191,0.000767378,1680.67,0
124,0.000888122,0.000845142,9194.78,0.000509319
125,0.000820059,0.000851523,559.831,0
126,0.000748407,0.000804785,468.764,0
127,0.000751835,0.00083751,469.326,0
128,0.000883141,0.000760888,7339.72,0.000279377
129,0.000806774,0.000825657,301.762,0
130,0.000748319,0.000863565,4226.01,4.99053e-05
131,0.000785846,0.000848387,352.566,0
132,0.000832997,0.000753776,489.234,0
133,0.000790563,0.000764263,309.025,0
134,0.00077858,0.0008712,2748.38,1.96103e-06
135,0.000797474,0.000864741,914.991,0
136,0.000868146,0.000838357,1624.36,0
137,0.000795002,0.000794817,300.102,0
138,0.00083977,0.000819002,311.77,0
139,0.000859813,0.000819754,495.642,0
140,0.000892746,0.000816257,10168.3,0.000634684
141,0.000729531,0.000828685,2596.44,5.22652e-07
142,0.000761344,0.000872291,3619.23,2.40706e-05
143,0.000839119,0.000795517,309.224,0
144,0.000858563,0.000729575,8105.76,0.00037254
145,0.000848543,0.000812086,350.343,0
146,0.000746418,0.000787285,496.851,0
147,0.000826861,0.000749552,606.283,0
148,0.000850873,0.000788713,503.427,0
149,0.000836956,0.000743371,845.15,0
150,0.000762575,0.000823306,322.563,0
