id,x,y,T,phi
0,0.000836249,0.000881556,8094.23,0.000516525
1,0.000727551,0.000749522,9351.19,0.000777908
2,0.000854025,0.000839238,1471.09,0
3,0.000765978,0.000858609,1493.97,0
4,0.000777954,0.000769297,419.115,0
5,0.000795843,0.000776616,315.646,0
6,0.000896878,0.000800474,10993.1,0.00112788
7,0.000726318,0.00073297,12325.2,0.00147853
8,0.000878131,0.000803471,3382.2,2.31739e-05
9,0.000784997,0.000797646,304.579,0
10,0.000860536,0.000818276,1761.92,0
11,0.000810661,0.000898101,11077.2,0.00113886
12,0.00077785,0.000779618,348.219,0
13,0.000861501,0.000793496,1649.88,0
14,0.000843529,0.000747342,2407.35,0
15,0.000721477,0.000825242,4008.59,5.56609e-05
16,0.000810766,0.000795909,304.732,0
17,0.000743573,0.000849486,2270.02,0
18,0.000801513,0.000812545,304.488,0
19,0.000780012,0.000755159,506.45,0
20,0.000838992,0.000732328,2933.04,6.72514e-06
21,0.000767742,0.000826326,417.747,0
22,0.000801438,0.000757335,478.151,0
23,0.000817031,0.00086294,1727.92,0
24,0.000873892,0.000814729,3564.58,3.13948e-05
25,0.00071276,0.000828495,7155.8,0.000378816
26,0.000856304,0.000772047,1115.4,0
27,0.00076055,0.000875607,5116.25,0.000146039
28,0.000725118,0.000790141,3363.06,2.24082e-05
29,0.000854869,0.000718752,12821.3,0.00164959
30,0.000716227,0.000778663,7204.99,0.000385533
31,0.000874782,0.00078341,3631.28,3.45694e-05
32,0.000787329,0.000876875,3625.19,3.48259e-05
33,0.000827629,0.000846897,592.978,0
34,0.000788916,0.000805789,304.56,0
35,0.000783042,0.000860508,1793.85,0
36,0.000803749,0.000811258,304.488,0
37,0.000821065,0.000718332,7465.71,0.000430101
38,0.000869646,0.000765228,2913.41,6.15801e-06
39,0.000869442,0.000758908,4171.08,6.74402e-05
40,0.000712414,0.000828793,7155.8,0.000378816
41,0.00077874,0.000822408,347.719,0
42,0.000758778,0.000729366,6553.87,0.000303566
43,0.000788104,0.00087597,3625.19,3.48259e-05
44,0.000744455,0.000850271,3628.36,3.46761e-05
45,0.000857396,0.000719857,12821.3,0.00164959
46,0.000807471,0.000884625,6451.58,0.000302316
47,0.000848979,0.000812718,507.768,0
48,0.000864653,0.000854098,5766.03,0.000215987
49,0.0008198,0.000863256,1727.92,0
50,0.000706486,0.000814588,11088.8,0.0011399
51,0.000774806,0.000729303,3971.15,5.31546e-05
52,0.000770422,0.00077723,348.219,0
53,0.000821357,0.000870302,3932.78,5.09913e-05
54,0.000721039,0.000743487,9351.19,0.000777908
55,0.00086093,0.000743119,6088.42,0.000248375
56,0.000777653,0.00087579,4147.51,6.62129e-05
57,0.000768724,0.00080876,353.178,0
58,0.000759547,0.000823409,605.234,0
59,0.000757678,0.000883914,10275.8,0.00095308
60,0.00077836,0.000827433,347.719,0
61,0.0007868,0.000894308,11184.8,0.00116124
62,0.000880479,0.000800263,6474.61,0.000304099
63,0.000779963,0.000855895,1089.79,0
64,0.000760349,0.000791375,353.633,0
65,0.000775361,0.000734875,2055.97,0
66,0.000801915,0.00085187,804.556,0
67,0.000808,0.000840236,471.258,0
68,0.000738521,0.000842442,3970.97,5.50834e-05
69,0.000799373,0.000825466,315.614,0
