id,x,y,T,phi
0,0.000836249,0.000881556,5848.6,0.000125232
1,0.000727551,0.000749522,7535.28,0.000264445
2,0.000854025,0.000839238,597.204,0
3,0.000765978,0.000858609,606.737,0
4,0.000777954,0.000769297,309.256,0
5,0.000795843,0.000776616,300.589,0
6,0.000896878,0.000800474,9529.55,0.000462598
7,0.000726318,0.00073297,11331.6,0.000684436
8,0.000878131,0.000803471,1689.51,0
9,0.000784997,0.000797646,300.096,0
10,0.000860536,0.000818276,734.354,0
11,0.000810661,0.000898101,9603.86,0.000466762
12,0.00077785,0.000779618,302.424,0
13,0.000861501,0.000793496,697.935,0
14,0.000843529,0.000747342,1036,0
15,0.000721477,0.000825242,2043.04,0
16,0.000810766,0.000795909,300.1,0
17,0.000743573,0.000849486,971.827,0
18,0.000801513,0.000812545,300.094,0
19,0.000780012,0.000755159,323.049,0
20,0.000838992,0.000732328,1344.1,0
21,0.000767742,0.000826326,309.169,0
22,0.000801438,0.000757335,320.086,0
23,0.000817031,0.00086294,721.197,0
24,0.000873892,0.000814729,1779.76,0
25,0.00071276,0.000828495,4851.9,6.96189e-05
26,0.000856304,0.000772047,469.894,0
27,0.00076055,0.000875607,2984,4.91264e-06
28,0.000725118,0.000790141,1682.66,0
29,0.000854869,0.000718752,12007.7,0.000807752
30,0.000716227,0.000778663,4901.56,7.21585e-05
31,0.000874782,0.00078341,1811.85,0
32,0.000787329,0.000876875,1831.51,0
33,0.000827629,0.000846897,335.996,0
34,0.000788916,0.000805789,300.096,0
35,0.000783042,0.000860508,752.742,0
36,0.000803749,0.000811258,300.094,0
37,0.000821065,0.000718332,5239.93,9.15648e-05
38,0.000869646,0.000765228,1318.26,0
39,0.000869442,0.000758908,2195.72,0
40,0.000712414,0.000828793,4851.9,6.96189e-05
41,0.00077874,0.000822408,302.422,0
42,0.000758778,0.000729366,4286.89,4.45933e-05
43,0.000788104,0.00087597,1831.51,0
44,0.000744455,0.000850271,1813.8,0
45,0.000857396,0.000719857,12007.7,0.000807752
46,0.000807471,0.000884625,4300.38,4.75872e-05
47,0.000848979,0.000812718,323.493,0
48,0.000864653,0.000854098,3605.11,2.00317e-05
49,0.0008198,0.000863256,721.197,0
50,0.000706486,0.000814588,9610.47,0.000466992
51,0.000774806,0.000729303,2014.4,0
52,0.000770422,0.00077723,302.424,0
53,0.000821357,0.000870302,1992.41,0
54,0.000721039,0.000743487,7535.28,0.000264445
55,0.00086093,0.000743119,3854.4,2.75641e-05
56,0.000777653,0.00087579,2191.23,0
57,0.000768724,0.00080876,303.524,0
58,0.000759547,0.000823409,338.4,0
59,0.000757678,0.000883914,8572.87,0.000357196
60,0.00077836,0.000827433,302.422,0
61,0.0007868,0.000894308,9749.25,0.000478579
62,0.000880479,0.000800263,4311.2,4.7933e-05
63,0.000779963,0.000855895,466.286,0
64,0.000760349,0.000791375,303.554,0
65,0.000775361,0.000734875,845.962,0
66,0.000801915,0.00085187,393.726,0
67,0.000808,0.000840236,319.322,0
68,0.000738521,0.000842442,2078.29,0
69,0.000799373,0.000825466,300.599,0
70,0.000783553,0.000753114,323.049,0
71,0.000850424,0.000867677,3491.48,1.64825e-05
72,0.000789488,0.000899332,9749.25,0.000478579
73,0.000716217,0.000852408,11937.6,0.000823122
74,0.000789775,0.000815032,300.212,0
75,0.000766408,0.000727784,2724.98,1.37984e-06
76,0.000731021,0.00082348,858.338,0
77,0.000737903,0.0007591,2194.99,0
78,0.00078058,0.00082077,300.922,0
79,0.000816127,0.000753508,325.523,0
80,0.000868207,0.00079287,697.935,0
81,0.000825601,0.000742269,476.216,0
82,0.000852192,0.000872522,6654.43,0.000187327
83,0.000776195,0.000732804,845.962,0
84,0.000757442,0.000882295,8572.87,0.000357196
85,0.000788658,0.000754461,323.049,0
86,0.000747728,0.00087323,6745.55,0.000191908
87,0.000828872,0.000788678,300.963,0
88,0.000737338,0.000792982,692.832,0
89,0.000758802,0.00071827,8291.4,0.000328766
90,0.000821808,0.000882925,4789.41,6.70552e-05
91,0.000775416,0.000730645,845.962,0
92,0.000821716,0.00084259,335.996,0
93,0.000701436,0.00078966,9624.81,0.000468049
94,0.000851057,0.000798798,395.622,0
95,0.000708262,0.000764811,11034.6,0.000621805
96,0.000835293,0.000887067,5848.6,0.000125232
97,0.000783794,0.00074974,405.687,0
98,0.000856999,0.000727766,7473.19,0.000254524
99,0.000848433,0.000758777,567.905,0
100,0.000884804,0.000763703,6626.21,0.000179074
101,0.000756814,0.000722615,4286.89,4.45933e-05
102,0.000747044,0.000854796,1813.8,0
103,0.000895636,0.000784029,9707.67,0.000473065
104,0.000781836,0.000850093,413.31,0
105,0.000733941,0.000822189,858.338,0
106,0.000844756,0.000889115,8169.83,0.000316743
107,0.000786565,0.000800516,300.096,0
108,0.000771743,0.000831461,309.6,0
