id,x,y,T,phi
0,0.000836249,0.000881556,5377.29,8.70536e-05
1,0.000727551,0.000749522,7134.96,0.000205607
2,0.000854025,0.000839238,511.689,0
3,0.000765978,0.000858609,519.499,0
4,0.000777954,0.000769297,305.038,0
5,0.000795843,0.000776616,300.283,0
6,0.000896878,0.000800474,9184.28,0.000379517
7,0.000726318,0.00073297,11090.3,0.00057915
8,0.000878131,0.000803471,1443.29,0
9,0.000784997,0.000797646,300.041,0
10,0.000860536,0.000818276,623.657,0
11,0.000810661,0.000898101,9254.29,0.000382816
12,0.00077785,0.000779618,301.198,0
13,0.000861501,0.000793496,597.155,0
14,0.000843529,0.000747342,864.521,0
15,0.000721477,0.000825242,1738.91,0
16,0.000810766,0.000795909,300.042,0
17,0.000743573,0.000849486,813.323,0
18,0.000801513,0.000812545,300.04,0
19,0.000780012,0.000755159,313.82,0
20,0.000838992,0.000732328,1127.82,0
21,0.000767742,0.000826326,304.994,0
22,0.000801438,0.000757335,312.141,0
23,0.000817031,0.00086294,613.738,0
24,0.000873892,0.000814729,1515.95,0
25,0.00071276,0.000828495,4392.31,4.3339e-05
26,0.000856304,0.000772047,415.886,0
27,0.00076055,0.000875607,2616.17,5.21921e-07
28,0.000725118,0.000790141,1438.21,0
29,0.000854869,0.000718752,11816.9,0.00069408
30,0.000716227,0.000778663,4441.32,4.52862e-05
31,0.000874782,0.00078341,1541.82,0
32,0.000787329,0.000876875,1561.93,0
33,0.000827629,0.000846897,321.772,0
34,0.000788916,0.000805789,300.041,0
35,0.000783042,0.000860508,638.489,0
36,0.000803749,0.000811258,300.04,0
37,0.000821065,0.000718332,4786.49,6.0588e-05
38,0.000869646,0.000765228,1103.69,0
39,0.000869442,0.000758908,1881.42,0
40,0.000712414,0.000828793,4392.31,4.3339e-05
41,0.00077874,0.000822408,301.201,0
42,0.000758778,0.000729366,3852.48,2.4949e-05
43,0.000788104,0.00087597,1561.93,0
44,0.000744455,0.000850271,1539.54,0
45,0.000857396,0.000719857,11816.9,0.00069408
46,0.000807471,0.000884625,3889.5,2.76417e-05
47,0.000848979,0.000812718,314.11,0
48,0.000864653,0.000854098,3206.13,8.36292e-06
49,0.0008198,0.000863256,613.738,0
