id,x,y,T,phi
0,0.000836249,0.000881556,7854.36,0.000450068
1,0.000727551,0.000749522,9160.68,0.000696103
2,0.000854025,0.000839238,1327.72,0
3,0.000765978,0.000858609,1348.72,0
4,0.000777954,0.000769297,392.752,0
5,0.000795843,0.000776616,311.163,0
6,0.000896878,0.000800474,10846.9,0.00102616
7,0.000726318,0.00073297,12226.9,0.00136059
8,0.000878131,0.000803471,3155.32,1.31645e-05
9,0.000784997,0.000797646,303.068,0
10,0.000860536,0.000818276,1600.48,0
11,0.000810661,0.000898101,10930.9,0.00103613
12,0.00077785,0.000779618,335.892,0
13,0.000861501,0.000793496,1498.26,0
14,0.000843529,0.000747342,2208.69,0
15,0.000721477,0.000825242,3756.47,3.82834e-05
16,0.000810766,0.000795909,303.174,0
17,0.000743573,0.000849486,2079.06,0
18,0.000801513,0.000812545,303.007,0
19,0.000780012,0.000755159,466.084,0
20,0.000838992,0.000732328,2713.02,2.06615e-06
21,0.000767742,0.000826326,391.693,0
22,0.000801438,0.000757335,443.103,0
23,0.000817031,0.00086294,1568.85,0
24,0.000873892,0.000814729,3328.51,1.9251e-05
25,0.00071276,0.000828495,6902.29,0.00032369
26,0.000856304,0.000772047,1001.41,0
27,0.00076055,0.000875607,4858.41,0.000115404
28,0.000725118,0.000790141,3137.65,1.26198e-05
29,0.000854869,0.000718752,12739.6,0.00152564
30,0.000716227,0.000778663,6951.71,0.000329816
31,0.000874782,0.00078341,3391.59,2.16466e-05
32,0.000787329,0.000876875,3390.09,2.19487e-05
33,0.000827629,0.000846897,538.92,0
34,0.000788916,0.000805789,303.056,0
35,0.000783042,0.000860508,1631.76,0
36,0.000803749,0.000811258,303.007,0
37,0.000821065,0.000718332,7222.86,0.000371197
38,0.000869646,0.000765228,2691.51,1.74594e-06
39,0.000869442,0.000758908,3920.72,4.81021e-05
40,0.000712414,0.000828793,6902.29,0.00032369
41,0.00077874,0.000822408,335.534,0
42,0.000758778,0.000729366,6296.64,0.000255681
43,0.000788104,0.00087597,3390.09,2.19487e-05
44,0.000744455,0.000850271,3390.94,2.17747e-05
45,0.000857396,0.000719857,12739.6,0.00152564
46,0.000807471,0.000884625,6206.75,0.000255585
47,0.000848979,0.000812718,467.403,0
48,0.000864653,0.000854098,5513.98,0.000177522
49,0.0008198,0.000863256,1568.85,0
